,ethnic fractionalization,linguistic fractionalization,religious ractionalization,full_name
0,0.7693,0.6141,0.2717,Afghanistan
1,0.2204,0.0399,0.4719,Albania
2,0.3394,0.4427,0.0091,Algeria
3,0.0,0.1733,0.6395,American Samoa
4,0.7139,0.6848,0.2326,Andorra
5,0.7867,0.787,0.6276,Angola
6,0.1643,0.1063,0.684,Antigua and Barbuda
7,0.255,0.0618,0.2236,Argentina
8,0.1272,0.1291,0.4576,Armenia
9,0.0,0.3889,0.4107,Aruba
10,0.0929,0.3349,0.8211,Australia
11,0.1068,0.1522,0.4146,Austria
12,0.2047,0.2054,0.4899,Azerbaijan
13,0.4228,0.1855,0.6815,Bahamas
14,0.5021,0.4344,0.5528,Bahrain
15,0.0454,0.0925,0.209,Bangladesh
16,0.1423,0.0926,0.6934,Barbados
17,0.3222,0.4666,0.6116,Belarus
18,0.5554,0.5409,0.2127,Belgium
19,0.7015,0.6303,0.5813,Belize
20,0.7872,0.7905,0.5544,Benin
21,0.0,0.0,0.7112,Bermuda
22,0.605,0.6056,0.3787,Bhutan
23,0.7396,0.224,0.2085,Bolivia
24,0.63,0.6751,0.6851,Bosnia and Herzegovina
25,0.4102,0.411,0.5986,Botswana
26,0.5408,0.0468,0.6054,Brazil
27,0.5416,0.3438,0.4404,Brunei
28,0.4021,0.3031,0.5965,Bulgaria
29,0.7377,0.7228,0.5798,Burkina Faso
30,0.2951,0.2977,0.5158,Burundi
31,0.2105,0.2104,0.0965,Cambodia
32,0.8635,0.8898,0.7338,Cameroon
33,0.7124,0.5772,0.6958,Canada
34,0.4174,0.0,0.0766,Cape Verde
35,0.8295,0.8334,0.7916,Central African Republic
36,0.862,0.8635,0.6411,Chad
37,0.1861,0.1871,0.3841,Chile
38,0.1538,0.1327,0.6643,China
39,0.6014,0.0193,0.1478,Colombia
40,0.0,0.0103,0.0137,Comoros
41,0.8747,0.8705,0.7021,DR Congo
42,0.8747,0.6871,0.6642,Congo
43,0.2368,0.0489,0.241,Costa Rica
44,0.8204,0.7842,0.7551,Ivory Coast
45,0.369,0.0763,0.4447,Croatia
46,0.5908,0.0,0.5059,Cuba
47,0.0939,0.3962,0.3962,Cyprus
48,0.3222,0.3233,0.6591,Czech Republic
49,0.0819,0.1049,0.2333,Denmark
50,0.7962,0.6558,0.0435,Djibouti
51,0.2003,0.0,0.4628,Dominica
52,0.4294,0.0395,0.3118,Dominican Republic
53,0.0,0.5261,0.4254,East Timor
54,0.655,0.1308,0.1417,Ecuador
